value	comparedValue	type	id	title	uri
120253	106939	20	94a29d5f-32c6-49de-82e9-b83778b27432	Contacting Wix by Phone	/article/contacting-wix-by-phone-3491545
3294	2518	30
0	0	22
20508	21538	20	ac7db61c-4b9e-4d85-bfc2-f00218f0cefa	Checking if Your Premium Plan is Refundable	/article/checking-if-your-premium-plan-is-refundable
2747	2594	30
0	0	22
8495	7243	20	14f00abb-984b-4740-926d-b8cea2cfb161	Viewing Invoices for Wix Services	/article/viewing-invoices-for-wix-services
2393	1643	30
0	0	22
2995	3257	20	f4960f50-647d-451d-a87e-85bd7a911fc6	Adding a Screenshot to a Ticket	/article/adding-a-screenshot-to-a-ticket
2150	1384	30
0	0	22
15	3	20	48ed715c-9d4d-4079-89a5-34af576639ed	(Internal) Account Access: Wrong Wix Login or Confirming Login Credentials	/article/internal-account-access-wrong-wix-login-or-confirming-login-credentials
1944	13	30
0	0	22
24817	26546	20	5358847b-2d40-4fb7-bb04-b562b91758e7	Assigning a Premium Plan to a Different Site in Your Wix Account	/article/assigning-a-premium-plan-to-a-different-site-in-your-wix-account
1830	1673	30
0	0	22
12802	12302	20	e817d0cb-22a2-4ed1-a3e0-f24603999aa7	About Domain Propagation	/article/about-domain-propagation
1829	1084	30
0	0	22
6977	8195	20	0d6d4c3b-6ca6-4cea-80c3-eb88a9f62fd2	Turning Off the Auto Renewal for a Wix Premium Plan	/article/turning-off-the-auto-renewal-for-a-wix-premium-plan
1798	1899	30
0	0	22
79035	81146	20	88f9af56-d2c4-47e7-8d9c-3d831da6f5f5	Connecting a Domain Purchased Elsewhere	/article/connecting-a-domain-purchased-elsewhere
1753	1482	30
0	0	22
15903	17648	20	f62dcd44-5c38-4b28-b6b3-e063f55b4f63	Unable to Sign In to Your Wix Account: Forgot Password	/article/unable-to-sign-in-to-your-wix-account-forgot-password
1711	1198	30
0	0	22
5	16	20	ebe6b79e-550b-4586-a1e2-e9d23810e622	(Internal) Account Access: Premium Account Access	/article/internal-account-access-premium-account-access
1347	56	30
0	0	22
27395	36377	20	3893d48d-5736-490f-8663-5c675b16200b	Upgrading Your Site to Premium	/article/upgrading-your-site-to-premium-3066683
1334	1134	30
0	0	22
8890	6030	20	3ae922bb-f2f4-4e7f-94ae-433a64e9e51a	Refund Policy for Premium Plans	/article/refund-policy-for-premium-plans
1256	661	30
0	0	22
13	7	20	3cc21c85-2f45-4e1a-9820-ac6945d2d7f0	(Internal) Multiple Tickets from Single User	/article/internal-multiple-tickets-from-single-user
1237	626	30
0	0	22
4359	4880	20	7d7ffe6c-491a-4d98-8af2-87f09d66e17e	Opening Your Browser in Incognito/Private Browsing Mode	/article/opening-your-browser-in-incognitoprivate-browsing-mode
984	518	30
0	0	22
58671	72819	20	e72873df-9108-4665-a12b-6b077e9d453f	Connecting a Domain to the Wix Name Servers	/article/connecting-a-domain-to-the-wix-name-servers
948	530	30
0	0	22
21709	18966	20	b9cf3df0-18ab-4733-b5cc-44167e8adf84	Transferring Your Wix Domain Away from Wix	/article/transferring-your-wix-domain-away-from-wix-2477749
882	815	30
0	0	22
24317	26760	20	93269015-9304-4f05-9cc4-1380967c0a87	Connecting a Domain to Wix Using Pointing	/article/connecting-a-domain-to-wix-using-pointing-5342238
878	740	30
0	0	22
10740	14027	20	0a58260b-116a-40a1-82cb-412807b9f22c	Removing a Domain from Your Wix Account	/article/removing-a-domain-from-your-wix-account
875	662	30
0	0	22
45301	47563	20	2a80c066-8f86-459f-85ef-c59d0128ffcd	Transferring a Domain Purchased Elsewhere to Wix	/article/transferring-a-domain-purchased-elsewhere-to-wix
860	707	30
0	0	22
29	28	20	ef897594-2623-4a35-9db8-cb14cc1e174a	(Internal) Search for Unknown Charge	/article/internal-search-for-unknown-charge
854	489	30
0	0	22
28226	31277	20	805f84fc-e1e4-44df-837d-37207132ed2e	Wix Name Server Records	/article/wix-name-server-records
840	951	30
0	0	22
